State,Active Cases,Recovered,Deaths,Latitude,Longitude,Date
Andaman and Nicobar Islands,47,133,0,11.7401,92.6586,08/09/2020
Andhra Pradesh,18159,19393,492,15.9129,79.74,08/09/2020
Arunachal Pradesh,387,153,3,28.218,94.7278,08/09/2020
Assam,6818,12888,48,26.2006,92.9376,08/09/2020
Bihar,7549,14018,197,25.0961,85.3131,08/09/2020
Chandigarh,164,476,11,30.7333,76.7794,08/09/2020
Chhattisgarh,1260,3451,21,21.2787,81.8661,08/09/2020
Dadra and Nagar Haveli and Daman and Diu,179,371,2,20.1809,73.0169,08/09/2020
Delhi,17407,97693,3545,28.7041,77.1025,08/09/2020
Goa,1272,1817,19,15.2993,74.124,08/09/2020
Gujarat,11289,32103,2089,22.2587,71.1924,08/09/2020
Haryana,5495,18185,322,29.0588,76.0856,08/09/2020
Himachal Pradesh,382,984,11,31.1048,77.1734,08/09/2020
Jammu and Kashmir,5488,6446,222,33.7782,76.5762,08/09/2020
Jharkhand,2069,2513,42,23.6102,85.2799,08/09/2020
Karnataka,30661,19729,1032,15.3173,75.7139,08/09/2020
Kerala,5376,4862,37,10.8505,76.2711,08/09/2020
Ladakh,176,970,1,34.2996,78.2932,08/09/2020
Madhya Pradesh,5562,14127,689,22.9734,78.6569,08/09/2020
Maharashtra,114947,158140,11194,19.7515,75.7139,08/09/2020
Manipur,635,1129,0,24.6637,93.9063,08/09/2020
Meghalaya,309,66,2,25.467,91.3662,08/09/2020
Mizoram,112,160,0,23.1645,92.9376,08/09/2020
Nagaland,525,391,0,26.1584,94.5624,08/09/2020
Odisha,4436,10877,79,20.9517,85.0985,08/09/2020
Puducherry,774,947,22,11.9416,79.8083,08/09/2020
Punjab,2587,6277,230,31.1471,75.3412,08/09/2020
Rajasthan,6666,19970,538,27.0238,74.2179,08/09/2020
Sikkim,155,88,0,27.533,88.5122,08/09/2020
Tamil Nadu,46717,107416,2236,11.1271,78.6569,08/09/2020
Telangana,13327,27295,396,18.1124,79.0193,08/09/2020
Tripura,676,1604,3,23.9408,91.9882,08/09/2020
Uttarakhand,937,2995,50,30.0668,79.0193,08/09/2020
Uttar Pradesh,15720,26675,1046,26.8467,80.9462,08/09/2020
West Bengal,13679,21415,1023,22.9868,87.855,08/09/2020
